iter	Passed	Remaining
401	26810	39881
402	26890	39835
403	26966	39782
404	27051	39742
405	27128	39690
406	27197	39627
407	27280	39583
408	27354	39526
409	27439	39485
410	27530	39453
411	27615	39412
412	27686	39351
413	27769	39305
414	27846	39253
415	27932	39213
416	28023	39179
417	28107	39135
418	28184	39080
419	28266	39034
420	28346	38984
421	28420	38926
422	28489	38861
423	28558	38796
424	28626	38730
425	28699	38670
426	28776	38615
427	28851	38558
428	28930	38506
429	29016	38463
430	29089	38403
431	29175	38360
432	29265	38322
433	29353	38281
434	29439	38238
435	29512	38176
436	29597	38131
437	29669	38068
438	29745	38012
439	29819	37951
440	29894	37892
441	29975	37841
442	30050	37783
443	30119	37717
444	30182	37642
445	30253	37579
446	30322	37513
447	30386	37440
448	30449	37366
449	30518	37300
450	30589	37236
451	30661	37173
452	30736	37113
453	30811	37055
454	30887	36997
455	30964	36940
456	31043	36885
457	31119	36826
458	31195	36768
459	31273	36712
460	31344	36647
461	31413	36581
462	31503	36538
463	31592	36494
464	31664	36430
465	31748	36381
466	31835	36335
467	31919	36284
468	31995	36225
469	32065	36158
470	32132	36089
471	32204	36024
472	32266	35950
473	32332	35879
474	32404	35815
475	32477	35753
476	32546	35684
477	32611	35613
478	32684	35550
479	32758	35488
480	32835	35429
481	32906	35364
482	32983	35305
483	33067	35254
484	33148	35199
485	33222	35136
486	33296	35074
487	33376	35017
488	33457	34962
489	33524	34892
490	33600	34832
491	33668	34763
492	33743	34701
493	33821	34643
494	33892	34576
495	33962	34509
496	34045	34456
497	34136	34411
498	34217	34355
499	34298	34298
500	34374	34237
501	34453	34178
502	34531	34120
503	34613	34063
504	34695	34008
505	34776	33952
506	34851	33889
507	34928	33828
508	35008	33770
509	35085	33709
510	35147	33634
511	35219	33568
512	35291	33502
513	35355	33429
514	35431	33367
515	35503	33301
516	35577	33238
517	35641	33164
518	35714	33099
519	35788	33035
520	35864	32972
521	35940	32911
522	36025	32857
523	36103	32796
524	36181	32736
525	36254	32670
526	36326	32604
527	36394	32534
528	36472	32473
529	36550	32412
530	36627	32350
531	36697	32283
532	36776	32222
533	36858	32164
534	36932	32100
535	37007	32036
536	37087	31976
537	37158	31909
538	37233	31844
539	37307	31780
540	37373	31709
541	37449	31645
542	37525	31582
543	37593	31512
544	37658	31440
545	37730	31372
546	37800	31304
547	37867	31233
548	37950	31175
549	38029	31115
550	38113	31057
551	38186	30992
552	38256	30923
553	38354	30877
554	38431	30814
555	38505	30748
556	38579	30683
557	38653	30618
558	38733	30557
559	38810	30494
560	38883	30427
561	38961	30365
562	39036	30300
563	39108	30232
564	39175	30161
565	39242	30090
566	39319	30026
567	39393	29961
568	39499	29919
569	39572	29853
570	39650	29789
571	39721	29721
572	39790	29652
573	39864	29585
574	39945	29525
575	40020	29459
576	40096	29395
577	40170	29328
578	40252	29267
579	40324	29200
580	40401	29136
581	40476	29070
582	40546	29001
583	40618	28933
584	40685	28862
585	40759	28795
586	40833	28729
587	40913	28667
588	40993	28604
589	41073	28542
590	41155	28481
591	41233	28417
592	41310	28352
593	41388	28289
594	41462	28222
595	41542	28159
596	41613	28090
597	41684	28021
598	41762	27958
599	41838	27892
600	41902	27818
601	41971	27748
602	42036	27675
603	42107	27607
604	42175	27536
605	42246	27467
606	42312	27395
607	42388	27329
608	42455	27258
609	42524	27187
610	42603	27124
611	42678	27057
612	42755	26992
613	42837	26930
614	42917	26866
615	42997	26803
616	43077	26740
617	43147	26670
618	43224	26605
619	43308	26543
620	43379	26475
621	43456	26409
622	43534	26344
623	43610	26278
624	43685	26211
625	43757	26142
626	43842	26081
627	43917	26015
628	43984	25943
629	44048	25869
630	44115	25798
631	44181	25726
632	44250	25655
633	44313	25581
634	44386	25513
635	44458	25444
636	44530	25375
637	44607	25310
638	44680	25241
639	44761	25178
640	44849	25118
641	44934	25056
642	45007	24988
643	45090	24925
644	45176	24864
645	45250	24796
646	45326	24730
647	45405	24664
648	45479	24596
649	45552	24528
650	45625	24459
651	45692	24388
652	45764	24319
653	45845	24254
654	45919	24186
655	45991	24117
656	46063	24048
657	46131	23977
658	46199	23905
659	46263	23832
660	46336	23763
661	46404	23692
662	46472	23621
663	46545	23552
664	46621	23485
665	46696	23418
666	46769	23349
667	46856	23287
668	46940	23224
669	47020	23159
670	47094	23091
671	47174	23025
672	47253	22959
673	47340	22897
674	47420	22832
675	47498	22765
676	47567	22694
677	47650	22630
678	47719	22559
679	47787	22488
680	47861	22419
681	47937	22352
682	48009	22282
683	48074	22209
684	48144	22139
685	48216	22070
686	48287	22000
687	48350	21926
688	48419	21855
689	48497	21788
690	48569	21719
691	48646	21651
692	48716	21581
693	48801	21517
694	48876	21449
695	48953	21381
696	49032	21315
697	49110	21248
698	49187	21180
699	49263	21112
700	49333	21042
701	49405	20972
702	49479	20904
703	49549	20833
704	49624	20764
705	49699	20696
706	49771	20626
707	49843	20557
708	49917	20488
709	49987	20417
710	50050	20344
711	50120	20273
712	50192	20203
713	50260	20132
714	50327	20060
715	50397	19990
716	50471	19921
717	50540	19849
718	50616	19782
719	50686	19711
720	50774	19647
721	50855	19581
722	50933	19513
723	51016	19448
724	51096	19381
725	51175	19314
726	51255	19247
727	51342	19182
728	51411	19111
729	51498	19047
730	51583	18982
731	51657	18913
732	51729	18842
733	51801	18772
734	51868	18700
735	51933	18628
736	52006	18558
737	52075	18487
738	52143	18416
739	52217	18346
740	52293	18278
741	52371	18210
742	52453	18143
743	52519	18071
744	52592	18001
745	52659	17929
746	52740	17862
747	52815	17793
748	52889	17723
749	52960	17653
750	53035	17584
751	53108	17514
752	53176	17442
753	53257	17375
754	53336	17307
755	53407	17237
756	53479	17167
757	53552	17097
758	53616	17024
759	53700	16957
